Tank,Temp,Exposure,ID,Status,Day
C1,8C,Control,1,1,13
C1,8C,Control,2,1,18
C1,8C,Control,3,0,25
C1,8C,Control,4,0,25
C1,8C,Control,5,0,25
C1,8C,Control,6,0,25
C1,8C,Control,7,0,25
C1,8C,Control,8,0,25
C1,8C,Control,9,0,25
C1,8C,Control,10,0,25
C1,8C,Control,11,0,25
C1,8C,Control,12,0,25
C1,8C,Control,13,0,25
C1,8C,Control,14,0,25
C1,8C,Control,15,0,25
C1,8C,Control,16,0,25
C1,8C,Control,17,0,25
C1,8C,Control,18,0,25
C1,8C,Control,19,0,25
C1,8C,Control,20,0,25
C1,8C,Control,21,0,25
C1,8C,Control,22,0,25
C1,8C,Control,23,0,25
C1,8C,Control,24,0,25
C1,8C,Control,25,0,25
C1,8C,Control,26,0,25
C1,8C,Control,27,0,25
C1,8C,Control,28,0,25
C1,8C,Control,29,0,25
C1,8C,Control,30,0,25
C1,8C,Control,31,0,25
C2,8C,Control,32,0,25
C2,8C,Control,33,0,25
C2,8C,Control,34,0,25
C2,8C,Control,35,0,25
C2,8C,Control,36,0,25
C2,8C,Control,37,0,25
C2,8C,Control,38,0,25
C2,8C,Control,39,0,25
C2,8C,Control,40,0,25
C2,8C,Control,41,0,25
C2,8C,Control,42,0,25
C2,8C,Control,43,0,25
C2,8C,Control,44,0,25
C2,8C,Control,45,0,25
C2,8C,Control,46,0,25
C2,8C,Control,47,0,25
C2,8C,Control,48,0,25
C2,8C,Control,49,0,25
C2,8C,Control,50,0,25
C2,8C,Control,51,0,25
C2,8C,Control,52,0,25
C2,8C,Control,53,0,25
C2,8C,Control,54,0,25
C2,8C,Control,55,0,25
C2,8C,Control,56,0,25
C2,8C,Control,57,0,25
C2,8C,Control,58,0,25
C2,8C,Control,59,0,25
C2,8C,Control,60,0,25
C2,8C,Control,61,0,25
C2,8C,Control,62,0,25
C3,8C,Control,63,0,25
C3,8C,Control,64,0,25
C3,8C,Control,65,0,25
C3,8C,Control,66,0,25
C3,8C,Control,67,0,25
C3,8C,Control,68,0,25
C3,8C,Control,69,0,25
C3,8C,Control,70,0,25
C3,8C,Control,71,0,25
C3,8C,Control,72,0,25
C3,8C,Control,73,0,25
C3,8C,Control,74,0,25
C3,8C,Control,75,0,25
C3,8C,Control,76,0,25
C3,8C,Control,77,0,25
C3,8C,Control,78,0,25
C3,8C,Control,79,0,25
C3,8C,Control,80,0,25
C3,8C,Control,81,0,25
C3,8C,Control,82,0,25
C3,8C,Control,83,0,25
C3,8C,Control,84,0,25
C3,8C,Control,85,0,25
C3,8C,Control,86,0,25
C3,8C,Control,87,0,25
C3,8C,Control,88,0,25
C3,8C,Control,89,0,25
C3,8C,Control,90,0,25
C3,8C,Control,91,0,25
C3,8C,Control,92,0,25
C3,8C,Control,93,0,25
A1,11C,Control,94,0,25
A1,11C,Control,95,0,25
A1,11C,Control,96,0,25
A1,11C,Control,97,0,25
A1,11C,Control,98,0,25
A1,11C,Control,99,0,25
A1,11C,Control,100,0,25
A1,11C,Control,101,0,25
A1,11C,Control,102,0,25
A1,11C,Control,103,0,25
A1,11C,Control,104,0,25
A1,11C,Control,105,0,25
A1,11C,Control,106,0,25
A1,11C,Control,107,0,25
A1,11C,Control,108,0,25
A1,11C,Control,109,0,25
A1,11C,Control,110,0,25
A1,11C,Control,111,0,25
A1,11C,Control,112,0,25
A1,11C,Control,113,0,25
A1,11C,Control,114,0,25
A1,11C,Control,115,0,25
A1,11C,Control,116,0,25
A1,11C,Control,117,0,25
A1,11C,Control,118,0,25
A1,11C,Control,119,0,25
A1,11C,Control,120,0,25
A1,11C,Control,121,0,25
A1,11C,Control,122,0,25
A1,11C,Control,123,0,25
A1,11C,Control,124,0,25
A2,11C,Control,125,1,2
A2,11C,Control,126,0,25
A2,11C,Control,127,0,25
A2,11C,Control,128,0,25
A2,11C,Control,129,0,25
A2,11C,Control,130,0,25
A2,11C,Control,131,0,25
A2,11C,Control,132,0,25
A2,11C,Control,133,0,25
A2,11C,Control,134,0,25
A2,11C,Control,135,0,25
A2,11C,Control,136,0,25
A2,11C,Control,137,0,25
A2,11C,Control,138,0,25
A2,11C,Control,139,0,25
A2,11C,Control,140,0,25
A2,11C,Control,141,0,25
A2,11C,Control,142,0,25
A2,11C,Control,143,0,25
A2,11C,Control,144,0,25
A2,11C,Control,145,0,25
A2,11C,Control,146,0,25
A2,11C,Control,147,0,25
A2,11C,Control,148,0,25
A2,11C,Control,149,0,25
A2,11C,Control,150,0,25
A2,11C,Control,151,0,25
A2,11C,Control,152,0,25
A2,11C,Control,153,0,25
A2,11C,Control,154,0,25
A2,11C,Control,155,0,25
A3,11C,Control,156,1,16
A3,11C,Control,157,0,25
A3,11C,Control,158,0,25
A3,11C,Control,159,0,25
A3,11C,Control,160,0,25
A3,11C,Control,161,0,25
A3,11C,Control,162,0,25
A3,11C,Control,163,0,25
A3,11C,Control,164,0,25
A3,11C,Control,165,0,25
A3,11C,Control,166,0,25
A3,11C,Control,167,0,25
A3,11C,Control,168,0,25
A3,11C,Control,169,0,25
A3,11C,Control,170,0,25
A3,11C,Control,171,0,25
A3,11C,Control,172,0,25
A3,11C,Control,173,0,25
A3,11C,Control,174,0,25
A3,11C,Control,175,0,25
A3,11C,Control,176,0,25
A3,11C,Control,177,0,25
A3,11C,Control,178,0,25
A3,11C,Control,179,0,25
A3,11C,Control,180,0,25
A3,11C,Control,181,0,25
A3,11C,Control,182,0,25
A3,11C,Control,183,0,25
A3,11C,Control,184,0,25
A3,11C,Control,185,0,25
A3,11C,Control,186,0,25
H1,14C,Control,187,1,2
H1,14C,Control,188,0,25
H1,14C,Control,189,0,25
H1,14C,Control,190,0,25
H1,14C,Control,191,0,25
H1,14C,Control,192,0,25
H1,14C,Control,193,0,25
H1,14C,Control,194,0,25
H1,14C,Control,195,0,25
H1,14C,Control,196,0,25
H1,14C,Control,197,0,25
H1,14C,Control,198,0,25
H1,14C,Control,199,0,25
H1,14C,Control,200,0,25
H1,14C,Control,201,0,25
H1,14C,Control,202,0,25
H1,14C,Control,203,0,25
H1,14C,Control,204,0,25
H1,14C,Control,205,0,25
H1,14C,Control,206,0,25
H1,14C,Control,207,0,25
H1,14C,Control,208,0,25
H1,14C,Control,209,0,25
H1,14C,Control,210,0,25
H1,14C,Control,211,0,25
H1,14C,Control,212,0,25
H1,14C,Control,213,0,25
H1,14C,Control,214,0,25
H1,14C,Control,215,0,25
H1,14C,Control,216,0,25
H1,14C,Control,217,0,25
H2,14C,Control,218,1,19
H2,14C,Control,219,0,25
H2,14C,Control,220,0,25
H2,14C,Control,221,0,25
H2,14C,Control,222,0,25
H2,14C,Control,223,0,25
H2,14C,Control,224,0,25
H2,14C,Control,225,0,25
H2,14C,Control,226,0,25
H2,14C,Control,227,0,25
H2,14C,Control,228,0,25
H2,14C,Control,229,0,25
H2,14C,Control,230,0,25
H2,14C,Control,231,0,25
H2,14C,Control,232,0,25
H2,14C,Control,233,0,25
H2,14C,Control,234,0,25
H2,14C,Control,235,0,25
H2,14C,Control,236,0,25
H2,14C,Control,237,0,25
H2,14C,Control,238,0,25
H2,14C,Control,239,0,25
H2,14C,Control,240,0,25
H2,14C,Control,241,0,25
H2,14C,Control,242,0,25
H2,14C,Control,243,0,25
H2,14C,Control,244,0,25
H2,14C,Control,245,0,25
H2,14C,Control,246,0,25
H2,14C,Control,247,0,25
H2,14C,Control,248,0,25
H3,14C,Control,249,1,21
H3,14C,Control,250,0,25
H3,14C,Control,251,0,25
H3,14C,Control,252,0,25
H3,14C,Control,253,0,25
H3,14C,Control,254,0,25
H3,14C,Control,255,0,25
H3,14C,Control,256,0,25
H3,14C,Control,257,0,25
H3,14C,Control,258,0,25
H3,14C,Control,259,0,25
H3,14C,Control,260,0,25
H3,14C,Control,261,0,25
H3,14C,Control,262,0,25
H3,14C,Control,263,0,25
H3,14C,Control,264,0,25
H3,14C,Control,265,0,25
H3,14C,Control,266,0,25
H3,14C,Control,267,0,25
H3,14C,Control,268,0,25
H3,14C,Control,269,0,25
H3,14C,Control,270,0,25
H3,14C,Control,271,0,25
H3,14C,Control,272,0,25
H3,14C,Control,273,0,25
H3,14C,Control,274,0,25
H3,14C,Control,275,0,25
H3,14C,Control,276,0,25
H3,14C,Control,277,0,25
H3,14C,Control,278,0,25
H3,14C,Control,279,0,25
C5,8C,VHS,280,1,6
C5,8C,VHS,281,1,7
C5,8C,VHS,282,1,8
C5,8C,VHS,283,1,8
C5,8C,VHS,284,1,8
C5,8C,VHS,285,1,9
C5,8C,VHS,286,1,9
C5,8C,VHS,287,1,9
C5,8C,VHS,288,1,9
C5,8C,VHS,289,1,10
C5,8C,VHS,290,1,10
C5,8C,VHS,291,1,10
C5,8C,VHS,292,1,10
C5,8C,VHS,293,1,10
C5,8C,VHS,294,1,10
C5,8C,VHS,295,1,11
C5,8C,VHS,296,1,11
C5,8C,VHS,297,1,12
C5,8C,VHS,298,1,12
C5,8C,VHS,299,1,12
C5,8C,VHS,300,1,13
C5,8C,VHS,301,1,13
C5,8C,VHS,302,1,13
C5,8C,VHS,303,1,15
C5,8C,VHS,304,1,15
C5,8C,VHS,305,1,19
C5,8C,VHS,306,1,23
C5,8C,VHS,307,0,25
C5,8C,VHS,308,0,25
C5,8C,VHS,309,0,25
C5,8C,VHS,310,0,25
C6,8C,VHS,311,1,9
C6,8C,VHS,312,1,9
C6,8C,VHS,313,1,10
C6,8C,VHS,314,1,10
C6,8C,VHS,315,1,10
C6,8C,VHS,316,1,10
C6,8C,VHS,317,1,11
C6,8C,VHS,318,1,11
C6,8C,VHS,319,1,11
C6,8C,VHS,320,1,12
C6,8C,VHS,321,1,12
C6,8C,VHS,322,1,12
C6,8C,VHS,323,1,12
C6,8C,VHS,324,1,12
C6,8C,VHS,325,1,13
C6,8C,VHS,326,1,13
C6,8C,VHS,327,1,14
C6,8C,VHS,328,1,14
C6,8C,VHS,329,1,14
C6,8C,VHS,330,1,15
C6,8C,VHS,331,1,19
C6,8C,VHS,332,1,20
C6,8C,VHS,333,0,25
C6,8C,VHS,334,0,25
C6,8C,VHS,335,0,25
C6,8C,VHS,336,0,25
C6,8C,VHS,337,0,25
C6,8C,VHS,338,0,25
C6,8C,VHS,339,0,25
C6,8C,VHS,340,0,25
C6,8C,VHS,341,0,25
C7,8C,VHS,342,1,8
C7,8C,VHS,343,1,11
C7,8C,VHS,344,1,13
C7,8C,VHS,345,1,13
C7,8C,VHS,346,1,13
C7,8C,VHS,347,1,13
C7,8C,VHS,348,1,13
C7,8C,VHS,349,1,14
C7,8C,VHS,350,1,14
C7,8C,VHS,351,1,15
C7,8C,VHS,352,1,15
C7,8C,VHS,353,1,16
C7,8C,VHS,354,1,17
C7,8C,VHS,355,1,17
C7,8C,VHS,356,1,18
C7,8C,VHS,357,1,18
C7,8C,VHS,358,1,18
C7,8C,VHS,359,1,19
C7,8C,VHS,360,1,19
C7,8C,VHS,361,1,20
C7,8C,VHS,362,1,20
C7,8C,VHS,363,1,20
C7,8C,VHS,364,1,21
C7,8C,VHS,365,0,25
C7,8C,VHS,366,0,25
C7,8C,VHS,367,0,25
C7,8C,VHS,368,0,25
C7,8C,VHS,369,0,25
C7,8C,VHS,370,0,25
C7,8C,VHS,371,0,25
C7,8C,VHS,372,0,25
A5,11C,VHS,373,1,4
A5,11C,VHS,374,1,7
A5,11C,VHS,375,1,7
A5,11C,VHS,376,1,7
A5,11C,VHS,377,1,8
A5,11C,VHS,378,1,9
A5,11C,VHS,379,1,9
A5,11C,VHS,380,1,9
A5,11C,VHS,381,1,9
A5,11C,VHS,382,1,9
A5,11C,VHS,383,1,9
A5,11C,VHS,384,1,9
A5,11C,VHS,385,1,9
A5,11C,VHS,386,1,10
A5,11C,VHS,387,1,11
A5,11C,VHS,388,1,11
A5,11C,VHS,389,1,18
A5,11C,VHS,390,0,25
A5,11C,VHS,391,0,25
A5,11C,VHS,392,0,25
A5,11C,VHS,393,0,25
A5,11C,VHS,394,0,25
A5,11C,VHS,395,0,25
A5,11C,VHS,396,0,25
A5,11C,VHS,397,0,25
A5,11C,VHS,398,0,25
A5,11C,VHS,399,0,25
A5,11C,VHS,400,0,25
A5,11C,VHS,401,0,25
A5,11C,VHS,402,0,25
A5,11C,VHS,403,0,25
A6,11C,VHS,404,1,6
A6,11C,VHS,405,1,6
A6,11C,VHS,406,1,8
A6,11C,VHS,407,1,8
A6,11C,VHS,408,1,8
A6,11C,VHS,409,1,8
A6,11C,VHS,410,1,9
A6,11C,VHS,411,1,9
A6,11C,VHS,412,1,9
A6,11C,VHS,413,1,9
A6,11C,VHS,414,1,9
A6,11C,VHS,415,1,9
A6,11C,VHS,416,1,9
A6,11C,VHS,417,1,10
A6,11C,VHS,418,1,10
A6,11C,VHS,419,1,10
A6,11C,VHS,420,1,11
A6,11C,VHS,421,1,11
A6,11C,VHS,422,1,11
A6,11C,VHS,423,1,14
A6,11C,VHS,424,1,16
A6,11C,VHS,425,1,16
A6,11C,VHS,426,1,17
A6,11C,VHS,427,1,21
A6,11C,VHS,428,1,21
A6,11C,VHS,429,0,25
A6,11C,VHS,430,0,25
A6,11C,VHS,431,0,25
A6,11C,VHS,432,0,25
A6,11C,VHS,433,0,25
A6,11C,VHS,434,0,25
A7,11C,VHS,435,0,25
A7,11C,VHS,436,0,25
A7,11C,VHS,437,0,25
A7,11C,VHS,438,0,25
A7,11C,VHS,439,0,25
A7,11C,VHS,440,0,25
A7,11C,VHS,441,0,25
A7,11C,VHS,442,0,25
A7,11C,VHS,443,0,25
A7,11C,VHS,444,0,25
A7,11C,VHS,445,0,25
A7,11C,VHS,446,0,25
A7,11C,VHS,447,0,25
A7,11C,VHS,448,0,25
A7,11C,VHS,449,0,25
A7,11C,VHS,450,0,25
A7,11C,VHS,451,0,25
A7,11C,VHS,452,0,25
A7,11C,VHS,453,0,25
A7,11C,VHS,454,0,25
A7,11C,VHS,455,0,25
A7,11C,VHS,456,0,25
A7,11C,VHS,457,0,25
A7,11C,VHS,458,0,25
A7,11C,VHS,459,0,25
A7,11C,VHS,460,0,25
A7,11C,VHS,461,0,25
A7,11C,VHS,462,0,25
A7,11C,VHS,463,0,25
A7,11C,VHS,464,0,25
A7,11C,VHS,465,0,25
H5,14C,VHS,466,1,6
H5,14C,VHS,467,1,8
H5,14C,VHS,468,1,10
H5,14C,VHS,469,1,12
H5,14C,VHS,470,1,21
H5,14C,VHS,471,0,25
H5,14C,VHS,472,0,25
H5,14C,VHS,473,0,25
H5,14C,VHS,474,0,25
H5,14C,VHS,475,0,25
H5,14C,VHS,476,0,25
H5,14C,VHS,477,0,25
H5,14C,VHS,478,0,25
H5,14C,VHS,479,0,25
H5,14C,VHS,480,0,25
H5,14C,VHS,481,0,25
H5,14C,VHS,482,0,25
H5,14C,VHS,483,0,25
H5,14C,VHS,484,0,25
H5,14C,VHS,485,0,25
H5,14C,VHS,486,0,25
H5,14C,VHS,487,0,25
H5,14C,VHS,488,0,25
H5,14C,VHS,489,0,25
H5,14C,VHS,490,0,25
H5,14C,VHS,491,0,25
H5,14C,VHS,492,0,25
H5,14C,VHS,493,0,25
H5,14C,VHS,494,0,25
H5,14C,VHS,495,0,25
H5,14C,VHS,496,0,25
H6,14C,VHS,497,0,25
H6,14C,VHS,498,0,25
H6,14C,VHS,499,0,25
H6,14C,VHS,500,0,25
H6,14C,VHS,501,0,25
H6,14C,VHS,502,0,25
H6,14C,VHS,503,0,25
H6,14C,VHS,504,0,25
H6,14C,VHS,505,0,25
H6,14C,VHS,506,0,25
H6,14C,VHS,507,0,25
H6,14C,VHS,508,0,25
H6,14C,VHS,509,0,25
H6,14C,VHS,510,0,25
H6,14C,VHS,511,0,25
H6,14C,VHS,512,0,25
H6,14C,VHS,513,0,25
H6,14C,VHS,514,0,25
H6,14C,VHS,515,0,25
H6,14C,VHS,516,0,25
H6,14C,VHS,517,0,25
H6,14C,VHS,518,0,25
H6,14C,VHS,519,0,25
H6,14C,VHS,520,0,25
H6,14C,VHS,521,0,25
H6,14C,VHS,522,0,25
H6,14C,VHS,523,0,25
H6,14C,VHS,524,0,25
H6,14C,VHS,525,0,25
H6,14C,VHS,526,0,25
H6,14C,VHS,527,0,25
H7,14C,VHS,528,1,7
H7,14C,VHS,529,1,7
H7,14C,VHS,530,1,7
H7,14C,VHS,531,1,7
H7,14C,VHS,532,1,8
H7,14C,VHS,533,1,9
H7,14C,VHS,534,1,9
H7,14C,VHS,535,1,10
H7,14C,VHS,536,1,11
H7,14C,VHS,537,1,15
H7,14C,VHS,538,0,25
H7,14C,VHS,539,0,25
H7,14C,VHS,540,0,25
H7,14C,VHS,541,0,25
H7,14C,VHS,542,0,25
H7,14C,VHS,543,0,25
H7,14C,VHS,544,0,25
H7,14C,VHS,545,0,25
H7,14C,VHS,546,0,25
H7,14C,VHS,547,0,25
H7,14C,VHS,548,0,25
H7,14C,VHS,549,0,25
H7,14C,VHS,550,0,25
H7,14C,VHS,551,0,25
H7,14C,VHS,552,0,25
H7,14C,VHS,553,0,25
H7,14C,VHS,554,0,25
H7,14C,VHS,555,0,25
H7,14C,VHS,556,0,25
H7,14C,VHS,557,0,25
H7,14C,VHS,558,0,25
